Wavenumber;Absorbance
3999,6401;-0,010116619
3998,6735362781956;-0,009203441
3997,7069725563906;-0,008308006
3996,7404088345866;-0,009976527
3995,7738451127816;-0,01149096
3994,8072813909776;-0,010453439
3993,8407176691726;-0,009209216
3992,8741539473685;-0,010942495
3991,9075902255636;-0,013633416
3990,9410265037595;-0,013261648
3989,9744627819546;-0,009920827
3989,0078990601505;-0,007629267
3988,0413353383456;-0,0080763055
3987,0747716165415;-0,009275257
3986,1082078947366;-0,00905293
3985,1416441729325;-0,007389907
3984,1750804511275;-0,005136493
3983,2085167293235;-0,0025557806
3982,2419530075185;0,000587267
3981,2753892857145;0,004489528
3980,3088255639095;0,0079875
3979,3422618421055;0,008535897
3978,3756981203005;0,005666143
3977,4091343984965;0,0018661699
3976,4425706766915;0,0004981577
3975,4760069548865;0,002660179
3974,5094432330825;0,0055074906
3973,5428795112775;0,0063194875
3972,5763157894735;0,0063480986
3971,6097520676685;0,007860724
3970,6431883458645;0,010521096
3969,6766246240595;0,012162692
3968,7100609022555;0,012336782
3967,7434971804505;0,012755867
3966,7769334586465;0,014513443
3965,8103697368415;0,016658202
3964,8438060150374;0,017558506
3963,8772422932325;0,016668152
3962,9106785714284;0,01504425
3961,9441148496235;0,014247872
3960,9775511278194;0,014347691
3960,0109874060145;0,013910509
3959,0444236842104;0,011835422
3958,0778599624055;0,009215034
3957,1112962406014;0,008062228
3956,1447325187964;0,008245893
3955,1781687969924;0,0074801096
3954,2116050751874;0,0050698943
3953,2450413533834;0,0029507135
3952,2784776315784;0,0025583112
3951,3119139097744;0,0027329612
3950,3453501879694;0,0018025828
3949,3787864661654;0,00033554548
3948,4122227443604;-3,9692764e-05
3947,4456590225564;0,00060398947
3946,4790953007514;0,0005267861
3945,5125315789473;-0,00095238694
3944,5459678571424;-0,002495892
3943,5794041353383;-0,0028276779
3942,6128404135334;-0,002191645
3941,6462766917293;-0,0021508627
3940,6797129699244;-0,0035218126
3939,7131492481203;-0,0054081543
3938,7465855263154;-0,006604661
3937,7800218045113;-0,006955791
3936,8134580827063;-0,007459677
3935,8468943609023;-0,009057408
3934,8803306390973;-0,01115504
3933,9137669172933;-0,012231705
3932,9472031954883;-0,011909253
3931,9806394736843;-0,011437971
3931,0140757518793;-0,011715493
3930,0475120300753;-0,011697334
3929,0809483082703;-0,01006806
3928,1143845864663;-0,0073405853
3927,1478208646613;-0,005487045
3926,1812571428572;-0,005413816
3925,2146934210523;-0,0061561693
3924,2481296992482;-0,006893669
3923,2815659774433;-0,007880535
3922,3150022556392;-0,009589913
3921,3484385338343;-0,011899323
3920,38187481203;-0,014202836
3919,4153110902253;-0,015964663
3918,448747368421;-0,017059399
3917,4821836466162;-0,017815268
3916,515619924812;-0,018740492
3915,5490562030072;-0,019912235
3914,582492481203;-0,021010749
3913,6159287593982;-0,022073582
3912,649365037594;-0,023528375
3911,682801315789;-0,02525788
3910,716237593985;-0,026343845
3909,74967387218;-0,02626672
3908,783110150376;-0,025784858
3907,816546428571;-0,02603545
3906,8499827067662;-0,027074244
3905,883418984962;-0,028102947
3904,9168552631572;-0,028752752
3903,950291541353;-0,029305302
3902,983727819548;-0,029969297
3902,017164097744;-0,030627217
3901,050600375939;-0,031139918
3900,084036654135;-0,031389445
3899,11747293233;-0,031225927
3898,150909210526;-0,03078556
3897,184345488721;-0,030638486
3896,217781766917;-0,03097754
3895,251218045112;-0,031241035
3894,284654323308;-0,031034613
3893,318090601503;-0,030754661
3892,351526879699;-0,030901356
3891,384963157894;-0,03118954
3890,41839943609;-0,031104911
3889,451835714285;-0,030812012
3888,485271992481;-0,030828092
3887,518708270676;-0,03109464
3886,552144548872;-0,031066325
3885,585580827067;-0,030550385
3884,619017105263;-0,029825134
3883,652453383458;-0,029123954
3882,685889661654;-0,02847632
3881,719325939849;-0,02794996
3880,752762218045;-0,027580427
3879,78619849624;-0,027206065
3878,819634774436;-0,026721163
3877,853071052631;-0,026218718
3876,886507330827;-0,025664689
3875,919943609022;-0,024795333
3874,953379887218;-0,023616122
3873,986816165413;-0,02264743
3873,020252443609;-0,022230038
3872,053688721804;-0,02192904
