Wavenumber;Absorbance
3999,6401;0,06762008
3998,6735362781956;0,036828253
3997,7069725563906;0,015539372
3996,7404088345866;0,0031283915
3995,7738451127816;0,0005525301
3994,8072813909776;0,006784663
3993,8407176691726;0,017271068
3992,8741539473685;0,026757108
3991,9075902255636;0,033228103
3990,9410265037595;0,035431884
3989,9744627819546;0,03134383
3989,0078990601505;0,022286683
3988,0413353383456;0,012571137
3987,0747716165415;0,0053700297
3986,1082078947366;0,0015195981
3985,1416441729325;0,0014538674
3984,1750804511275;0,0060233315
3983,2085167293235;0,015496894
3982,2419530075185;0,02827524
3981,2753892857145;0,03879906
3980,3088255639095;0,040895075
3979,3422618421055;0,035964854
3978,3756981203005;0,029276425
3977,4091343984965;0,023645906
3976,4425706766915;0,020668607
3975,4760069548865;0,020794382
3974,5094432330825;0,022784375
3973,5428795112775;0,025659619
3972,5763157894735;0,029823752
3971,6097520676685;0,035198808
3970,6431883458645;0,040298212
3969,6766246240595;0,043978967
3968,7100609022555;0,04632228
3967,7434971804505;0,047227003
3966,7769334586465;0,046379752
3965,8103697368415;0,044707272
3964,8438060150374;0,04390997
3963,8772422932325;0,04417484
3962,9106785714284;0,044078927
3961,9441148496235;0,043082222
3960,9775511278194;0,042263497
3960,0109874060145;0,041912347
3959,0444236842104;0,04061666
3958,0778599624055;0,037024718
3957,1112962406014;0,03134208
3956,1447325187964;0,024719337
3955,1781687969924;0,018244963
3954,2116050751874;0,013022064
3953,2450413533834;0,010078557
3952,2784776315784;0,009327649
3951,3119139097744;0,009346439
3950,3453501879694;0,008909288
3949,3787864661654;0,00798723
3948,4122227443604;0,006514559
3947,4456590225564;0,0037876861
3946,4790953007514;-5,3839478e-05
3945,5125315789473;-0,0033391025
3944,5459678571424;-0,0046700924
3943,5794041353383;-0,0041109053
3942,6128404135334;-0,0025601615
3941,6462766917293;-0,00089442637
3940,6797129699244;0,00029651832
3939,7131492481203;0,0006318285
3938,7465855263154;0,00010919038
3937,7800218045113;-0,0011167374
3936,8134580827063;-0,0031340786
3935,8468943609023;-0,0060091726
3934,8803306390973;-0,009114224
3933,9137669172933;-0,011240869
3932,9472031954883;-0,011689336
3931,9806394736843;-0,010860001
3931,0140757518793;-0,0095016835
3930,0475120300753;-0,007633955
3929,0809483082703;-0,0051859342
3928,1143845864663;-0,0032263743
3927,1478208646613;-0,003412222
3926,1812571428572;-0,0060448237
3925,2146934210523;-0,00973674
3924,2481296992482;-0,013231309
3923,2815659774433;-0,01599379
3922,3150022556392;-0,017742211
3921,3484385338343;-0,018404769
3920,38187481203;-0,01823457
3919,4153110902253;-0,017499069
3918,448747368421;-0,016335052
3917,4821836466162;-0,015300481
3916,515619924812;-0,015446253
3915,5490562030072;-0,017303903
3914,582492481203;-0,02033891
3913,6159287593982;-0,023585211
3912,649365037594;-0,026492566
3911,682801315789;-0,02873005
3910,716237593985;-0,029865595
3909,74967387218;-0,0296903
3908,783110150376;-0,028644104
3907,816546428571;-0,027455593
3906,8499827067662;-0,02652486
3905,883418984962;-0,026070308
3904,9168552631572;-0,026288053
3903,950291541353;-0,027098961
3902,983727819548;-0,02808863
3902,017164097744;-0,028954217
3901,050600375939;-0,02967232
3900,084036654135;-0,030103521
3899,11747293233;-0,029879082
3898,150909210526;-0,028947148
3897,184345488721;-0,027923739
3896,217781766917;-0,027240299
3895,251218045112;-0,02654266
3894,284654323308;-0,025505593
3893,318090601503;-0,02451399
3892,351526879699;-0,024149606
3891,384963157894;-0,024380784
3890,41839943609;-0,02485748
3889,451835714285;-0,025527807
3888,485271992481;-0,026448704
3887,518708270676;-0,027356826
3886,552144548872;-0,02784388
3885,585580827067;-0,027767673
3884,619017105263;-0,027109327
3883,652453383458;-0,025776364
3882,685889661654;-0,0239517
3881,719325939849;-0,022260131
3880,752762218045;-0,021185039
3879,78619849624;-0,020630931
3878,819634774436;-0,020475289
3877,853071052631;-0,020874506
3876,886507330827;-0,021818358
3875,919943609022;-0,022926461
3874,953379887218;-0,023816345
3873,986816165413;-0,024339309
3873,020252443609;-0,024186619
3872,053688721804;-0,022725765
3871,087125;-0,019656308
3870,120561278195;-0,015384599
3869,153997556391;-0,010767794
3868,187433834586;-0,00665201
3867,220870112782;-0,0038516335
3866,254306390977;-0,0028379485
3865,287742669173;-0,0033404506
3864,321178947368;-0,0044976044
3863,354615225564;-0,005552509
3862,388051503759;-0,006229208
3861,421487781955;-0,0063464167
