Wavenumber;Absorbance
3999,6401;-0,025605125
3998,6735362781956;-0,023379764
3997,7069725563906;-0,023038778
3996,7404088345866;-0,024977215
3995,7738451127816;-0,026373906
3994,8072813909776;-0,025218207
3993,8407176691726;-0,023089837
3992,8741539473685;-0,022583392
3991,9075902255636;-0,023013923
3990,9410265037595;-0,022304295
3989,9744627819546;-0,020723185
3989,0078990601505;-0,020297203
3988,0413353383456;-0,020993795
3987,0747716165415;-0,020784339
3986,1082078947366;-0,018967526
3985,1416441729325;-0,017030727
3984,1750804511275;-0,016093833
3983,2085167293235;-0,01557414
3982,2419530075185;-0,014475456
3981,2753892857145;-0,012681917
3980,3088255639095;-0,011221431
3979,3422618421055;-0,010568674
3978,3756981203005;-0,009949326
3977,4091343984965;-0,008515737
3976,4425706766915;-0,006058351
3975,4760069548865;-0,0036479027
3974,5094432330825;-0,002683831
3973,5428795112775;-0,0029375146
3972,5763157894735;-0,0029818432
3971,6097520676685;-0,002266705
3970,6431883458645;-0,0011977989
3969,6766246240595;0,00037381338
3968,7100609022555;0,0032109655
3967,7434971804505;0,006816065
3966,7769334586465;0,009196284
3965,8103697368415;0,009662385
3964,8438060150374;0,009723338
3963,8772422932325;0,0106978575
3962,9106785714284;0,011792658
3961,9441148496235;0,01168192
3960,9775511278194;0,010752809
3960,0109874060145;0,010089917
3959,0444236842104;0,009901301
3958,0778599624055;0,009586739
3957,1112962406014;0,00885484
3956,1447325187964;0,007955204
3955,1781687969924;0,007181949
3954,2116050751874;0,0067231786
3953,2450413533834;0,006608982
3952,2784776315784;0,00642214
3951,3119139097744;0,00565812
3950,3453501879694;0,004659296
3949,3787864661654;0,0042489856
3948,4122227443604;0,004500643
3947,4456590225564;0,0045427615
3946,4790953007514;0,0040141614
3945,5125315789473;0,003643852
3944,5459678571424;0,0037557003
3943,5794041353383;0,0035222783
3942,6128404135334;0,0022259736
3941,6462766917293;0,00084975804
3940,6797129699244;0,0007264083
3939,7131492481203;0,0014333224
3938,7465855263154;0,0019272702
3937,7800218045113;0,0021692603
3936,8134580827063;0,0025608111
3935,8468943609023;0,0028147264
3934,8803306390973;0,002263909
3933,9137669172933;0,0008698438
3932,9472031954883;-0,00067464804
3931,9806394736843;-0,0017166571
3931,0140757518793;-0,002146082
3930,0475120300753;-0,0022691772
3929,0809483082703;-0,0024275605
3928,1143845864663;-0,0027851774
3927,1478208646613;-0,003081837
3926,1812571428572;-0,0029353756
3925,2146934210523;-0,002602256
3924,2481296992482;-0,0027509697
3923,2815659774433;-0,0035499453
3922,3150022556392;-0,0044676964
3921,3484385338343;-0,0050811516
3920,38187481203;-0,0055865943
3919,4153110902253;-0,0062453104
3918,448747368421;-0,006821981
3917,4821836466162;-0,0070234463
3916,515619924812;-0,0071204277
3915,5490562030072;-0,00759469
3914,582492481203;-0,008515607
3913,6159287593982;-0,009608354
3912,649365037594;-0,010727001
3911,682801315789;-0,011812916
3910,716237593985;-0,012717862
3909,74967387218;-0,013395448
3908,783110150376;-0,014047984
3907,816546428571;-0,014795112
3906,8499827067662;-0,015450667
3905,883418984962;-0,015897429
3904,9168552631572;-0,016356017
3903,950291541353;-0,016975861
3902,983727819548;-0,017577734
3902,017164097744;-0,018046187
3901,050600375939;-0,018605981
