Wavenumber;Absorbance
3999,6401;-0,0042980807
3998,6735362781956;-0,0024394551
3997,7069725563906;-0,0017307493
3996,7404088345866;-0,0021384987
3995,7738451127816;-0,002291129
3994,8072813909776;-0,0010592946
3993,8407176691726;0,0005637438
3992,8741539473685;0,0011296156
3991,9075902255636;0,0013566363
3990,9410265037595;0,0026216425
3989,9744627819546;0,0045336545
3989,0078990601505;0,005737651
3988,0413353383456;0,006287583
3987,0747716165415;0,0069943555
3986,1082078947366;0,0077363113
3985,1416441729325;0,008174173
3984,1750804511275;0,009106406
3983,2085167293235;0,011476179
3982,2419530075185;0,014557504
3981,2753892857145;0,015685689
3980,3088255639095;0,014013021
3979,3422618421055;0,012489084
3978,3756981203005;0,013057266
3977,4091343984965;0,015275712
3976,4425706766915;0,018255055
3975,4760069548865;0,020700995
3974,5094432330825;0,021454785
3973,5428795112775;0,020823406
3972,5763157894735;0,020165628
3971,6097520676685;0,020010369
3970,6431883458645;0,019790102
3969,6766246240595;0,019380357
3968,7100609022555;0,019800782
3967,7434971804505;0,02175866
3966,7769334586465;0,024300292
3965,8103697368415;0,02621972
3964,8438060150374;0,027367149
3963,8772422932325;0,02780188
3962,9106785714284;0,026814306
3961,9441148496235;0,024061903
3960,9775511278194;0,020726573
3960,0109874060145;0,018315531
3959,0444236842104;0,017335927
3958,0778599624055;0,017092714
3957,1112962406014;0,016797286
3956,1447325187964;0,016182782
3955,1781687969924;0,015221147
3954,2116050751874;0,01376065
3953,2450413533834;0,01164169
3952,2784776315784;0,008925015
3951,3119139097744;0,006028539
3950,3453501879694;0,0035928998
3949,3787864661654;0,0019484378
3948,4122227443604;0,0008180542
3947,4456590225564;-0,00041712285
3946,4790953007514;-0,0018035461
3945,5125315789473;-0,0026193494
3944,5459678571424;-0,0024504268
3943,5794041353383;-0,00186386
3942,6128404135334;-0,0019026239
3941,6462766917293;-0,002915859
3940,6797129699244;-0,0043564746
3939,7131492481203;-0,005760841
3938,7465855263154;-0,007017871
3937,7800218045113;-0,007909525
3936,8134580827063;-0,0082912985
3935,8468943609023;-0,008573761
3934,8803306390973;-0,009195591
3933,9137669172933;-0,009934785
3932,9472031954883;-0,010289705
3931,9806394736843;-0,010339761
3931,0140757518793;-0,010613071
3930,0475120300753;-0,011186364
3929,0809483082703;-0,011716589
3928,1143845864663;-0,01215403
3927,1478208646613;-0,012819757
3926,1812571428572;-0,013702159
3925,2146934210523;-0,014359844
3924,2481296992482;-0,014650851
3923,2815659774433;-0,014882914
3922,3150022556392;-0,015377147
3921,3484385338343;-0,01618332
3920,38187481203;-0,017137762
3919,4153110902253;-0,01795225
3918,448747368421;-0,018378312
3917,4821836466162;-0,018504672
3916,515619924812;-0,018873598
3915,5490562030072;-0,019882707
3914,582492481203;-0,021301245
3913,6159287593982;-0,022612486
3912,649365037594;-0,023671286
3911,682801315789;-0,024591427
3910,716237593985;-0,025308054
3909,74967387218;-0,025702698
3908,783110150376;-0,02600287
3907,816546428571;-0,026596174
3906,8499827067662;-0,027496368
3905,883418984962;-0,028385049
3904,9168552631572;-0,029082928
3903,950291541353;-0,029597083
3902,983727819548;-0,029853934
3902,017164097744;-0,029789124
3901,050600375939;-0,029555917
3900,084036654135;-0,029311651
3899,11747293233;-0,028992683
3898,150909210526;-0,028647207
3897,184345488721;-0,028668577
3896,217781766917;-0,029174209
3895,251218045112;-0,029626671
3894,284654323308;-0,029576285
3893,318090601503;-0,029328283
3892,351526879699;-0,029499669
3891,384963157894;-0,03008454
3890,41839943609;-0,030589575
3889,451835714285;-0,030839728
3888,485271992481;-0,03105778
3887,518708270676;-0,031215135
3886,552144548872;-0,03089932
3885,585580827067;-0,02985084
3884,619017105263;-0,028148476
3883,652453383458;-0,025942571
3882,685889661654;-0,023488322
3881,719325939849;-0,021358564
3880,752762218045;-0,020144796
3879,78619849624;-0,019860076
3878,819634774436;-0,020044604
3877,853071052631;-0,020149192
3876,886507330827;-0,019784482
3875,919943609022;-0,018766418
3874,953379887218;-0,017311767
3873,986816165413;-0,016080583
3873,020252443609;-0,015648903
3872,053688721804;-0,015954027
3871,087125;-0,01658596
3870,120561278195;-0,017237863
3869,153997556391;-0,017610349
3868,187433834586;-0,017313996
3867,220870112782;-0,016215753
3866,254306390977;-0,014767987
3865,287742669173;-0,013492366
3864,321178947368;-0,012419213
3863,354615225564;-0,011255591
3862,388051503759;-0,010029047
3861,421487781955;-0,009177489
3860,45492406015;-0,009020543
3859,488360338346;-0,009416775
3858,521796616541;-0,009892586
3857,555232894737;-0,009988184
3856,588669172932;-0,009469005
3855,622105451128;-0,0083405115
3854,655541729323;-0,006832484
3853,688978007519;-0,005301461
3852,722414285714;-0,004156952
3851,75585056391;-0,0036220436
3850,789286842105;-0,003509849
3849,822723120301;-0,003335716
3848,856159398496;-0,002874519
3847,889595676692;-0,0023638979
3846,923031954887;-0,0019919495
3845,956468233083;-0,0014317118
3844,989904511278;-0,0002459506
3844,023340789474;0,0014091218
3843,056777067669;0,002967861
3842,090213345865;0,004195721
3841,12364962406;0,005253405
3840,157085902256;0,0060938904
3839,190522180451;0,0064540207
3838,223958458646;0,0064894683
3837,257394736842;0,006747172
3836,290831015037;0,007479604
3835,324267293233;0,008365519
3834,357703571428;0,009149042
3833,391139849624;0,009962458
3832,424576127819;0,010869527
3831,458012406015;0,0115511
3830,49144868421;0,011696318
3829,524884962406;0,011387698
3828,558321240601;0,010827538
3827,591757518797;0,010129936
3826,625193796992;0,009503926
3825,658630075188;0,009298299
3824,692066353383;0,009618819
3823,725502631579;0,010073402
3822,758938909774;0,010206254
3821,79237518797;0,0100057535
3820,825811466165;0,0097598
3819,859247744361;0,009610959
3818,892684022556;0,009492852
3817,926120300752;0,009330053
3816,959556578947;0,009093312
3815,992992857143;0,008756884
3815,026429135338;0,008342821
3814,0598654135338;0,0079455525
3813,093301691729;0,0076109567
3812,1267379699248;0,0072772247
3811,16017424812;0,00689288
3810,1936105263158;0,006491856
3809,227046804511;0,0060824994
3808,2604830827067;0,0055694073
3807,293919360902;0,0048629716
3806,3273556390977;0,0039895154
3805,3607919172928;0,00305244
3804,3942281954887;0,0021615014
3803,4276644736838;0,0014316934
3802,4611007518797;0,0009635789
3801,4945370300748;0,00072630873
3800,5279733082707;0,0005515348
3799,5614095864657;0,00024748239
3798,5948458646617;-0,0002848593
3797,6282821428567;-0,0010396935
3796,6617184210527;-0,0018980055
3795,6951546992477;-0,0026960147
3794,7285909774437;-0,0033676745
3793,7620272556387;-0,0040122312
3792,7954635338347;-0,004736532
3791,8288998120297;-0,0054950607
3790,8623360902257;-0,0061925594
3789,8957723684207;-0,0068759928
3788,9292086466166;-0,007671231
3787,9626449248117;-0,008573047
3786,9960812030076;-0,00947027
3786,0295174812027;-0,010308862
3785,0629537593986;-0,0110882195
3784,0963900375937;-0,011751162
3783,1298263157896;-0,012281085
3782,1632625939847;-0,012894675
3781,1966988721806;-0,0138390325
3780,2301351503756;-0,015020024
3779,2635714285716;-0,016071452
3778,2970077067666;-0,016828561
3777,3304439849626;-0,017438946
3776,3638802631576;-0,018034171
3775,3973165413536;-0,018553345
3774,4307528195486;-0,018995913
3773,4641890977446;-0,019550145
3772,4976253759396;-0,020289836
3771,5310616541356;-0,02099329
3770,5644979323306;-0,021449529
3769,5979342105265;-0,021720445
3768,6313704887216;-0,021948667
3767,6648067669166;-0,022099374
3766,6982430451126;-0,022094304
3765,7316793233076;-0,022022657
3764,7651156015036;-0,02201916
3763,7985518796986;-0,022096066
3762,8319881578946;-0,022229943
3761,8654244360896;-0,022453744
3760,8988607142855;-0,02272784
3759,9322969924806;-0,022892453
3758,9657332706765;-0,02288601
3757,9991695488716;-0,022833733
3757,0326058270675;-0,02280918
3756,0660421052626;-0,022709444
3755,0994783834585;-0,022477878
3754,1329146616536;-0,022234162
3753,1663509398495;-0,022027947
3752,1997872180445;-0,021728512
3751,2332234962405;-0,021308344
3750,2666597744355;-0,020966265
3749,3000960526315;-0,020794287
3748,3335323308265;-0,020576423
3747,3669686090225;-0,02014859
3746,4004048872175;-0,019656405
3745,4338411654135;-0,019266399
3744,4672774436085;-0,018878706
3743,5007137218045;-0,018336354
3742,5341499999995;-0,017691825
3741,5675862781954;-0,01704312
3740,6010225563905;-0,01634989
3739,6344588345864;-0,0156050185
3738,6678951127815;-0,014941727
3737,7013313909774;-0,01438879
3736,7347676691725;-0,013797596
3735,7682039473684;-0,01311424
3734,8016402255635;-0,012403435
3733,8350765037594;-0,011422286
3732,8685127819545;-0,0093276985
3731,9019490601504;-0,0051817764
3730,9353853383454;-0,0005450772
3729,9688216165414;0,0006766933
3729,0022578947364;-0,0002751904
3728,0356941729324;-0,00082762813
3727,0691304511274;-0,00026452786
3726,1025667293234;0,0011788177
3725,1360030075184;0,0030704923
3724,1694392857144;0,0050547086
3723,2028755639094;0,00694752
3722,2363118421054;0,008681531
3721,2697481203004;0,010328594
3720,3031843984963;0,0120175565
3719,3366206766914;0,013773544
3718,3700569548873;0,015559599
3717,4034932330824;0,017413419
3716,4369295112783;0,01941892
3715,4703657894734;0,021611955
3714,5038020676693;0,024004927
3713,5372383458644;0,026626213
3712,5706746240603;0,029453365
3711,6041109022553;0,03242577
3710,6375471804513;0,03556402
3709,6709834586463;0,038943753
3708,7044197368423;0,042508766
3707,7378560150373;0,046116702
3706,7712922932333;0,049875636
3705,8047285714283;0,05422578
3704,8381648496243;0,059625704
3703,8716011278193;0,066100955
3702,9050374060153;0,07314878
3701,9384736842103;0,079746604
3700,9719099624062;0,08468523
3700,0053462406013;0,08723627
3699,0387825187963;0,087674476
3698,0722187969923;0,08715551
3697,1056550751873;0,08674911
3696,1390913533833;0,08685589
3695,1725276315783;0,08733341
3694,2059639097743;0,088065796
3693,2394001879693;0,089119464
3692,2728364661652;0,09058618
3691,3062727443603;0,09252691
3690,3397090225562;0,09504204
3689,3731453007513;0,09825302
3688,406581578947;0,1022645
3687,4400178571423;0,107171714
3686,473454135338;0,11304638
3685,5068904135333;0,11994462
3684,540326691729;0,1280149
3683,5737629699242;0,13756086
3682,60719924812;0,14893648
3681,6406355263152;0,16230522
3680,674071804511;0,17743519
3679,707508082706;0,19314979
3678,740944360902;0,2069515
3677,774380639097;0,21610005
3676,807816917293;0,21922252
3675,841253195488;0,21699178
3674,874689473684;0,21101744
3673,908125751879;0,20311901
3672,941562030075;0,19468011
3671,97499830827;0,18622321
3671,008434586466;0,17757834
3670,041870864661;0,16858052
3669,075307142857;0,15961798
3668,108743421052;0,15144342
3667,142179699248;0,14456275
3666,175615977443;0,13905358
3665,209052255639;0,13476598
3664,242488533834;0,13152345
3663,27592481203;0,12917857
3662,309361090225;0,12765306
3661,342797368421;0,1269546
3660,376233646616;0,12691732
3659,409669924812;0,12674609
3658,443106203007;0,12513556
3657,476542481203;0,12094944
3656,509978759398;0,11413704
3655,543415037594;0,10573452
3654,576851315789;0,09722192
3653,610287593985;0,08970791
3652,64372387218;0,08359409
3651,677160150376;0,07882957
3650,710596428571;0,075176746
3649,744032706767;0,072404616
3648,777468984962;0,07027923
3647,810905263158;0,06849669
3646,844341541353;0,066682376
3645,877777819549;0,06451085
3644,911214097744;0,061943542
3643,94465037594;0,059226476
3642,978086654135;0,05674306
3642,011522932331;0,05481876
3641,044959210526;0,053659137
3640,078395488722;0,05336006
3639,111831766917;0,053935427
3638,145268045113;0,055435892
3637,178704323308;0,057966765
3636,212140601504;0,061438117
3635,245576879699;0,06527722
3634,279013157895;0,068484396
3633,31244943609;0,07015903
3632,345885714286;0,06982219
3631,379321992481;0,06761501
3630,412758270677;0,06416864
3629,446194548872;0,060290515
3628,479630827067;0,05652547
3627,513067105263;0,052992973
3626,546503383458;0,04964701
3625,579939661654;0,046570145
3624,613375939849;0,043957263
3623,646812218045;0,041895233
3622,68024849624;0,040252663
3621,713684774436;0,03883855
3620,747121052631;0,0374952
3619,780557330827;0,036078326
3618,813993609022;0,034454625
3617,847429887218;0,03255653
3616,880866165413;0,030371627
3615,914302443609;0,027855013
3614,947738721804;0,02498697
3613,981175;0,021955462
3613,014611278195;0,019158643
3612,048047556391;0,016974173
3611,081483834586;0,015507985
3610,114920112782;0,014661472
3609,148356390977;0,014291461
3608,181792669173;0,0143045075
3607,215228947368;0,014679705
3606,248665225564;0,015447862
3605,282101503759;0,016556473
3604,315537781955;0,017768046
3603,34897406015;0,018880665
3602,382410338346;0,02007005
3601,415846616541;0,021897333
3600,449282894737;0,024886921
3599,482719172932;0,02916135
3598,516155451128;0,034443326
3597,549591729323;0,040159356
3596,583028007519;0,04559881
3595,616464285714;0,05002373
3594,64990056391;0,052929305
3593,683336842105;0,05411914
3592,716773120301;0,053767614
3591,750209398496;0,052508023
3590,783645676692;0,05121185
3589,817081954887;0,050581254
3588,8505182330828;0,05072363
3587,883954511278;0,05131498
3586,9173907894738;0,051959004
3585,950827067669;0,052356984
3584,9842633458647;0,052198414
3584,01769962406;0,05119951
3583,0511359022557;0,04934244
3582,084572180451;0,046926152
3581,1180084586467;0,044397667
3580,1514447368418;0,042128466
3579,1848810150377;0,04039566
3578,2183172932328;0,039302807
3577,2517535714287;0,038675025
3576,2851898496237;0,038130254
3575,3186261278197;0,037394073
3574,3520624060147;0,036488425
3573,3854986842107;0,035610773
3572,4189349624057;0,03494409
3571,4523712406017;0,034601573
3570,4858075187967;0,034642767
3569,5192437969927;0,03502382
3568,5526800751877;0,03564775
3567,5861163533837;0,036489975
3566,6195526315787;0,03759621
3565,6529889097746;0,038896747
3564,6864251879697;0,040139258
3563,7198614661656;0,041113745
3562,7532977443607;0,041859
3561,7867340225566;0,042636167
3560,8201703007517;0,043750275
3559,8536065789467;0,045445994
3558,8870428571427;0,047833025
3557,9204791353377;0,05077253
3556,9539154135337;0,05390763
3555,9873516917287;0,05687663
3555,0207879699246;0,059528295
3554,0542242481197;0,06185799
3553,0876605263156;0,06383119
3552,1210968045107;0,06530125
3551,1545330827066;0,06605343
3550,1879693609017;0,065938056
3549,2214056390976;0,06498789
3548,2548419172927;0,063466616
3547,2882781954886;0,061751142
3546,3217144736836;0,060051855
3545,3551507518796;0,058320496
3544,3885870300746;0,056490526
3543,4220233082706;0,05474753
3542,4554595864656;0,053430386
3541,4888958646616;0,052803975
3540,5223321428566;0,05326251
3539,5557684210526;0,05556191
3538,5892046992476;0,059947617
3537,6226409774436;0,0649132
3536,6560772556386;0,067291
3535,6895135338345;0,0651189
3534,7229498120296;0,059864245
3533,7563860902255;0,055156242
3532,7898223684206;0,0531594
3531,8232586466165;0,053426642
3530,8566949248116;0,05435817
3529,8901312030075;0,05513728
3528,9235674812026;0,05581952
3527,9570037593985;0,05646694
3526,9904400375935;0,056931403
3526,0238763157895;0,057249356
3525,0573125939845;0,057624146
3524,0907488721805;0,058047388
3523,1241851503755;0,058352746
3522,1576214285715;0,05853997
3521,1910577067665;0,058667157
3520,2244939849625;0,05852992
3519,2579302631575;0,057833537
3518,2913665413535;0,05662825
3517,3248028195485;0,0552526
3516,3582390977444;0,05392023
3515,3916753759395;0,052673254
3514,4251116541354;0,051655233
3513,4585479323305;0,05105321
3512,4919842105264;0,050791636
3511,5254204887215;0,050531745
3510,5588567669174;0,05003269
3509,5922930451125;0,049262267
3508,6257293233084;0,04819481
3507,6591656015034;0,04678505
3506,6926018796994;0,045146927
3505,7260381578944;0,04353049
3504,7594744360904;0,042057533
3503,7929107142854;0,040689833
3502,8263469924814;0,039435588
3501,8597832706764;0,038387097
3500,8932195488724;0,03752139
3499,9266558270674;0,036624745
3498,9600921052634;0,035498146
3497,9935283834584;0,03406751
3497,0269646616543;0,03235394
3496,0604009398494;0,030506572
3495,0938372180453;0,028940717
3494,1272734962404;0,028209187
3493,1607097744363;0,028616097
3492,1941460526314;0,030043593
3491,2275823308273;0,03204841
3490,2610186090224;0,03408138
3489,2944548872174;0,03552087
3488,3278911654133;0,03594783
3487,3613274436084;0,03541085
3486,3947637218043;0,03435947
3485,4281999999994;0,03325325
3484,4616362781953;0,032343622
3483,4950725563904;0,03174563
3482,5285088345863;0,03143408
3481,5619451127814;0,031167325
3480,5953813909773;0,030564869
3479,6288176691723;0,029434573
3478,6622539473683;0,02787356
3477,6956902255633;0,026111506
3476,7291265037593;0,024357798
3475,7625627819543;0,022832775
3474,7959990601503;0,021723513
3473,8294353383453;0,021038529
3472,8628716165413;0,02063584
3471,8963078947363;0,020428626
3470,9297441729323;0,020451931
3469,9631804511273;0,020703843
3468,9966167293233;0,021088544
3468,0300530075183;0,021573024
3467,0634892857142;0,022222547
3466,0969255639093;0,023020944
3465,1303618421052;0,023823753
3464,1637981203003;0,024533411
3463,197234398496;0,025183307
3462,2306706766913;0,025767792
3461,264106954887;0,026178226
3460,2975432330823;0,026382215
3459,330979511278;0,026487926
3458,3644157894732;0,02658137
3457,397852067669;0,026642278
3456,4312883458642;0,026692344
3455,46472462406;0,026850434
3454,498160902255;0,027156487
3453,531597180451;0,02749996
3452,565033458646;0,027781747
3451,598469736842;0,028019464
